anime_id,title,genre,aired,episodes,members,score
859,Soredemo Sekai wa Utsukushii,"['Adventure', 'Romance', 'Fantasy', 'Shoujo']",2014,12,186271,7.76
860,Panty & Stocking with Garterbelt,"['Action', 'Comedy', 'Parody', 'Supernatural', 'Ecchi']",2010,13,249140,7.76
861,Mitsudomoe Zouryouchuu!,"['Slice of Life', 'Comedy', 'School']",2011,8,35933,7.76
862,Romeo x Juliet,"['Drama', 'Fantasy', 'Historical', 'Romance']",2007,24,135029,7.74
863,Urusei Yatsura,"['Action', 'Sci-Fi', 'Adventure', 'Comedy', 'Drama', 'Romance']",1981,195,45907,7.74
864,Blood+,"['Action', 'Military', 'Mystery', 'Horror', 'Supernatural', 'Drama', 'Vampire']",2005,50,284348,7.73
865,Bounen no Xamdou,"['Action', 'Military', 'Sci-Fi']",2008,26,108496,7.73
866,Flip Flappers,"['Sci-Fi', 'Adventure', 'Comedy', 'Magic']",2016,13,134252,7.73
867,Fushigi Yuugi,"['Adventure', 'Fantasy', 'Magic', 'Martial Arts', 'Comedy', 'Romance', 'Historical', 'Drama', 'Shoujo']",1995,52,84407,7.73
868,Gakkou no Kaidan,"['Mystery', 'Horror', 'Supernatural']",2000,19,83093,7.73
869,InuYasha Movie 2: Kagami no Naka no Mugenjo,"['Action', 'Adventure', 'Comedy', 'Historical', 'Demons', 'Supernatural', 'Drama', 'Magic', 'Romance', 'Fantasy', 'Shounen']",2002,1,71989,7.73
870,Mobile Suit Gundam: Char's Counterattack,"['Military', 'Sci-Fi', 'Space', 'Drama', 'Mecha']",1988,1,29248,7.73
871,Sengoku Night Blood,"['Historical', 'Romance', 'Fantasy']",2017,12,29011,6.15
872,Holy Knight,"['Ecchi', 'Fantasy', 'Supernatural', 'School', 'Vampire', 'Seinen']",2012,2,32178,6.13
873,Narutaru: Mukuro Naru Hoshi Tama Taru Ko,"['Drama', 'Seinen', 'Thriller']",2003,13,26108,6.14
874,Egao no Daika,"['Military', 'Slice of Life', 'Drama', 'Fantasy', 'Mecha']",2019,12,26032,6.14
875,Isuca,"['Action', 'Comedy', 'Ecchi', 'Romance', 'School', 'Seinen', 'Supernatural']",2015,10,105866,6.13
876,Gunjou no Magmell,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",2019,13,63495,6.07
877,Dorei-ku The Animation,"['Drama', 'Psychological']",2018,12,42996,6.07
878,School Days ONA,"['Romance', 'School', 'Drama']",2005,1,27912,6.08
879,Grimms Notes The Animation,"['Action', 'Adventure', 'Fantasy', 'Magic']",2019,12,27549,6.08
